Utbildningsområde,Utbildningsnamn,YH-poäng,Anordnare,Kommun 1,Kommun 2,Kommun 3,Kommun 4,Kommun 5,Kommun 6,Platser med start 2020,Platser med start 2021,Utbildningsnummer,Källa,Sheet,Definitioner och förklaringar,Kommun 7,Kommun 8,Kommun 9,Kommun 10,Platser med start och avslut 2020,Diarienummer,Beslut,Anordnare namn,Antal beviljade platser 2023,Antal beviljade platser 2024,Totalt antal beviljade platser,Kommun,Län,FA-region,Antal kommuner,Antal län,Antal FA-regioner,Sökt utbildningsområde,Sökt antal platser 2023,Sökt antal platser 2024,Sökt antal platser 2024 (start och avslut 2024),Sökt antal platser 2025,Sökt antal platser 2026,Sökt antal  platser 2021,Sökt antal platser 2022,Antal beviljade platser 2022,Antal beviljade platser start 2024,Antal beviljade platser start och slut 2024,Antal beviljade platser start 2025,Antal beviljade platser 2021
Data/IT,Agil testautomatiserare,60.0,IT-Högskolan Sverige AB,Göteborg,,,,,,15.0,20.0,YH01239,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Agila arbetsmetoder &DevOps för utveklare,40.0,Lernia Utbildning AB,Malmö,,,,,,6.0,6.0,YH01249,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Agile Project Leader,60.0,Changemaker Educations AB,Stockholm,Boden,Skellefteå,Karlstad,,,30.0,60.0,YH01247,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Agilt ledarskap,20.0,Nackademin AB,Solna,,,,,,30.0,30.0,YH01242,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Amazon AWS,60.0,Campus Mölndal,Mölndal,,,,,,25.0,50.0,YH01241,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Azure administration för servtekniker,60.0,Lernia Utbildning AB,Stockholm,Malmö,,,,,18.0,18.0,YH01250,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,"Continuous Integration, Delivery och Deployment",30.0,Campus Mölndal,Mölndal,,,,,,25.0,50.0,YH01251,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Digitalisering inom industrin,15.0,Göteborgs Tekniska College AB,Göteborg,,,,,,20.0,80.0,YH01315,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Front-end,75.0,Sunne kommun/Broby Grafiska,Sunne,,,,,,0.0,56.0,YH01289,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Frontend Developer,50.0,Changemaker Educations AB,Stockholm,Boden,,,,,30.0,60.0,YH01248,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Internet of Things med Python och C++,75.0,Östsvenska Yrkeshögskolan AB,Linköping,,,,,,30.0,30.0,YH01246,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,IT-projektledare,80.0,Borås Stad - Borås Yrkeshögskola,Borås,,,,,,20.0,20.0,YH01235,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,IT-säkerhet,30.0,TUC Sweden AB - yrkeshögskola,Linköping,Jönköping,Tranås,,,,20.0,40.0,YH01245,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Java Automation Developer,25.0,Stiftelsen Stockholms Tekniska Institut,Stockholm,,,,,,25.0,25.0,YH01244,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,JavaScript fullstack,50.0,Campus Mölndal,Mölndal,,,,,,25.0,50.0,YH01252,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Microsoft Azure,50.0,Campus Mölndal,Mölndal,,,,,,25.0,50.0,YH01253,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Molnutveckling med AWS och integrationer,30.0,IT-Högskolan Stockholm AB,Stockholm,,,,,,30.0,30.0,YH01238,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Objektorienterad programmering och C++,15.0,Göteborgs Tekniska College AB,Göteborg,,,,,,20.0,80.0,YH01316,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Office 365 Specialist,75.0,EC Utbildning AB,Solna,,,,,,25.0,25.0,YH01236,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,UX Designer up-skill,80.0,Hyper Island Program AB,Malmö,Kalmar,,,,,40.0,80.0,YH01237,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,UX/UI-Designer,75.0,Sunne kommun/Broby Grafiska,Sunne,,,,,,0.0,56.0,YH01291,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Webbutveckling med React,30.0,IT-Högskolan Stockholm AB,Göteborg,,,,,,20.0,20.0,YH01240,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Business developer med fokus på digitalisering och hållbarhet,65.0,Hyper Island Program AB,Malmö,Karlskrona,,,,,40.0,80.0,YH01255,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Content marketing & Copywriting,30.0,Lidköpings kommun Campus Lidköping,Lidköping,,,,,,0.0,30.0,YH01286,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Diagnosklassifikation,25.0,Campus Nyköping,Nyköping,Ronneby,Visby,Västerås,Sundsvall,Luleå,20.0,20.0,YH01254,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Digital analys och mätning,60.0,Medieinstitutet i Sverige AB,Stockholm,,,,,,40.0,80.0,YH01260,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Digital Analytics – Conversion & Visualisation,30.0,IHM Business School AB Stockholm,Stockholm,,,,,,40.0,50.0,YH01256,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Digital Marketing Specialist,50.0,Sälj & Marknadshögskolan i Sverige AB,Göteborg,,,,,,25.0,25.0,YH01269,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",e-handel för fysiska butiker,90.0,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Malmö,,,,,,35.0,35.0,YH01268,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
