Utbildningsområde,Utbildningsnamn,Län,Kommun,Flera studiekommuner,Antal kommuner,Antal län,YH-poäng,Utbildningsanordnare administrativ enhet,Diarienummer,år,Flera kommuner,Yrkeshögskolan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Data/IT,.NET Utvecklare ,Västra Götaland,Göteborg,Nej,1.0,1.0,400.0,Plushögskolan AB - Teknikhögskolan,MYH 2020/4403,2020,,,,,,,,,,
Data/IT,.NET-utvecklare,Stockholm,Stockholm,Nej,1.0,1.0,400.0,IT-Högskolan Stockholm AB,MYH 2020/5766,2020,,,,,,,,,,
Data/IT,.NET-utvecklare,Västra Götaland,Göteborg,Nej,1.0,1.0,400.0,IT-Högskolan Sverige AB,MYH 2020/5764,2020,,,,,,,,,,
Data/IT,Agil Javautvecklare,Gävleborg,Gävle,Nej,1.0,1.0,400.0,Edugrade AB,MYH 2020/5827,2020,,,,,,,,,,
Data/IT,Agil projektledare,Skåne,Malmö,Nej,1.0,1.0,225.0,IHM Business School AB Malmö,MYH 2020/5354,2020,,,,,,,,,,
Data/IT,Agil projektledare,Stockholm,Stockholm,Nej,1.0,1.0,225.0,IHM Business School AB Stockholm,MYH 2020/5326,2020,,,,,,,,,,
Data/IT,Agil systemutvecklare i Java och JavaScript  ,Norrbotten,Piteå,Nej,1.0,1.0,400.0,Lernia Utbildning AB,MYH 2020/5071,2020,,,,,,,,,,
Data/IT,Agile Project Manager ,Stockholm,Stockholm,Nej,1.0,1.0,300.0,Changemaker Educations AB,MYH 2020/4824,2020,,,,,,,,,,
Data/IT,Applikationsutvecklare mobila enheter,Flera kommuner,Flera kommuner,Ja,2.0,2.0,400.0,KYH AB,MYH 2020/4432,2020,,,,,,,,,,
Data/IT,Backend-utvecklare,Flera kommuner,Flera kommuner,Ja,2.0,1.0,400.0,"Uddevalla kommun, Vuxenutbildningen",MYH 2020/4560,2020,,,,,,,,,,
Data/IT,Cloud and IT-infrastructure specialist,Kalmar,Kalmar,Nej,1.0,1.0,400.0,"Kalmarsunds Gymnasieförbund, Axel Weüdelskolan",MYH 2020/4804,2020,,,,,,,,,,
Data/IT,Cloud developer Azure,Västra Götaland,Göteborg,Nej,1.0,1.0,400.0,IT-Högskolan Sverige AB,MYH 2020/5759,2020,,,,,,,,,,
Data/IT,Data Analyst,Stockholm,Stockholm,Nej,1.0,1.0,400.0,Hyper Island Program AB - Stockholm,MYH 2020/5145,2020,,,,,,,,,,
Data/IT,Data Scientist,Flera kommuner,Flera kommuner,Ja,2.0,1.0,400.0,EC Utbildning AB Helsingborg,MYH 2020/5325,2020,,,,,,,,,,
Data/IT,Data Scientist,Stockholm,Solna,Nej,1.0,1.0,400.0,EC Utbildning AB Stockholm,MYH 2020/5003,2020,,,,,,,,,,
Data/IT,DevOps Engineer,Skåne,Malmö,Nej,1.0,1.0,400.0,JENSEN Education School AB,MYH 2020/5725,2020,,,,,,,,,,
Data/IT,DevOps Engineer,Stockholm,Solna,Nej,1.0,1.0,400.0,Nackademin AB,MYH 2020/5245,2020,,,,,,,,,,
Data/IT,DevOps Engineer,Stockholm,Stockholm,Nej,1.0,1.0,415.0,Chas Academy AB,MYH 2020/5801,2020,,,,,,,,,,
Data/IT,Front End Developer,Flera kommuner,Flera kommuner,Ja,5.0,3.0,400.0,KYH AB,MYH 2020/4521,2020,,,,,,,,,,
Data/IT,Front End Developer Distans,Stockholm,Stockholm,Nej,1.0,1.0,400.0,Medieinstitutet i Sverige AB,MYH 2020/5676,2020,,,,,,,,,,
Data/IT,Front end webbutvecklare,Skåne,Malmö,Nej,1.0,1.0,400.0,Grit Academy AB,MYH 2020/4907,2020,,,,,,,,,,
Data/IT,Frontend / App Developer,Stockholm,Stockholm,Nej,1.0,1.0,450.0,Changemaker Educations AB,MYH 2020/4827,2020,,,,,,,,,,
Data/IT,Frontendutvecklare,Värmland,Karlstad,Nej,1.0,1.0,400.0,Folkuniversitetet Kursverksamheten vid Göteborgs universitet,MYH 2020/5048,2020,,,,,,,,,,
