"ålder","år","kön","Data/It","Ekonomi, administration och försäljning","Friskvård och kroppsvård","Hotell, restaurang och turism","Hälso- och sjukvård samt socialt arbete","Journalistik och information","Juridik","Kultur, media och design","Lantbruk, djurvård, trädgård, skog och fiske","Pedagogik och undervisning","Samhällsbyggnad och byggteknik","Säkerhetstjänster","Teknik och tillverkning","Transporttjänster"
"totalt","2015","totalt",5943,15111,692,3089,11347,626,858,3545,1443,751,5988,652,6754,4252
"totalt","2016","totalt",5549,16432,471,2604,11702,1004,726,3367,1666,998,5747,248,6271,3607
"totalt","2017","totalt",5720,16085,491,2673,11787,1228,759,3338,1421,913,6637,181,6643,4972
"totalt","2018","totalt",5849,19224,536,2875,12102,1219,947,3229,1222,2174,8581,410,7198,4424
"totalt","2019","totalt",9131,21826,711,3865,15175,1998,1065,4432,1450,3019,10393,728,9444,6158
"totalt","2020","totalt",14597,29209,836,4522,19705,2094,1868,5354,2154,3946,14770,1268,13756,5620
"totalt","2021","totalt",15099,29497,1074,4530,22525,1866,2007,5638,2487,4173,15021,978,14045,4632
"totalt","2022","totalt",16811,25773,972,4076,21106,1726,1131,5589,2561,3873,14650,1224,13362,4619
"totalt","2023","totalt",19660,28939,924,4250,19287,1649,1148,6094,2852,1947,15924,1210,15591,6691
"totalt","2024","totalt",21628,30039,469,5289,21541,1743,1261,5895,3331,2033,17783,1422,20388,6318
